_id,Commentaire_Client,commentaire_moderateur,date,date_correction_spark,date_suppression_spark,emojis_corrige_spark,emojis_originaux,emojis_sentiment,emojis_supprimes_du_texte,metadata,moderateur,normalized_arabert,normalized_full,source,statut,traite,nettoyage_v4_applique,expression_sociale,flag_social,expression_suggestion,flag_suggestion,suggestion_type,expression_plainte,flag_plainte,plainte_type,expression_negation,flag_negation,negation_type,updated_at,expression_mixte,flag_mixte,mixte_type,encouragement_type,expression_encouragement,flag_encouragement,annoté,confidence,conflit,label_final,labels_originaux,reason,score,flag_positif,subtype_positif,subtype_negation,subtype_mixte,subtype_social,subtype_encouragement,subtype_plainte,subtype_suggestion,reason_groupe,reason_v2,label_id,true_label,pred_label
69de5f8b45b81689600c5ced,دراهم شاطرين,masqué,14/11/2025 12:37,,,,,,,"{'fichier': 'Social-Media-Analytics2.xlsx', 'ligne': 5614, 'date_import': datetime.datetime(2026, 4, 14, 16, 38, 51, 166000)}",Romaissa ZEHIOUA,دراهم شاطرين,دراهم شاطرين,Facebook,sans_doublons,False,True,,0,,0,,,0,,,0,,2026-04-10,,0,,,,0,True,0.85,False,negatif,negatif,insatisfaction sur les frais,-0.7,0,,,,,,,,facturation_offre,facturation_offre,7,facturation_offre,autre
69de5f8b45b81689600c57c4,دخلت للتطبيق و تفاجأت بلي ما كان والو,قوموا بدعوة أصدقائكم واستفيدوا من 10 أيام إنترنت إضافية مهداة مع سرعة فيبر مُعزَّزة تصل إلى غاية 1.5 جيغابت/الثانية ! يمكن لكل مشترك في IDOOM FIBRE دعوة الأصدقاء أو العائلة للاستفادة من العرض. عند اشتراك الشخص المدعو وتفعيل حسابه، يحصل المشترك على 10 أيام من الانترنت مهداة بسرعة أنترنت تصل إلى 1.5 جيغابت/ث لمدة 10 أيام. كما يستفيد الشخص المدعو من تدفق أعلى خلال الشهر الأول من اشتراكه. 📌 شروط المشاركة • أن يكون المشترك فعالاً ويمتلك حساب MY IDOOM. • أن يكون الشخص المدعو مؤهلاً للعرض. 📱 طريقة الدعوة عبر تطبيق MY IDOOM بإدخال البريد الإلكتروني للشخص المدعو فقط. للمزيد من التفاصيل، ندعوكم لزيارة تطبيق MY IDOOM. 🌐 محمد,18/11/2025 20:30,,,,,,,"{'fichier': 'Social-Media-Analytics2.xlsx', 'ligne': 4293, 'date_import': datetime.datetime(2026, 4, 14, 16, 38, 51, 51000)}",MohamedAmine GHEBGHOUB,دخلت للتطبيق و تفاجات بلي ما كان والو,دخلت للتطبيق و تفاجات بلي ما كان والو,Facebook,sans_doublons,False,True,,0,,0,,,0,,ما كان,1,neg_seule,2026-04-10,,0,,,,0,True,0.95,False,negatif,negatif,absence de fonctionnalité,-0.85,0,,neg_seule,,,,,,absence_service,absence_service,0,absence_service,application_mobile
69de5f8845b81689600c2924,لقد قمت لمراسلتكم ارجو الرد,masqué,29/01/2026 11:15,,,,,,,"{'fichier': 'Social-Media-Analytics1.xlsx', 'ligne': 587, 'date_import': datetime.datetime(2026, 4, 14, 16, 38, 48, 721000)}",Ahlem Baroudi,لقد قمت لمراسلتكم ارجو الرد,لقد قمت لمراسلتكم ارجو الرد,Facebook,sans_doublons,False,True,,0,,0,,راسلتكم,0,prv_implicit,,0,,2026-04-10,,0,,,,0,True,0.5,False,negatif,negatif,demande de réponse à la demande,,0,,,,,,,,demande_information,demande_information,5,demande_information,service_client
69de5f8d45b81689600c8717,تحسب ران نطلبو,masquer,08/12/2025 11:16,,,,,,,"{'fichier': 'Social-Media-Analytics3.xlsx', 'ligne': 6860, 'date_import': datetime.datetime(2026, 4, 14, 16, 38, 53, 653000)}",Nihad BOUBEKEUR,تحسب ران نطلبو,تحسب ران نطلبو,Facebook,sans_doublons,False,True,,0,,0,,,0,,,0,,2026-04-10,,0,,,,0,True,0.85,False,negatif,negatif,ressenti mauvais traitement client,-0.6,0,,,,,,,,service_client,service_client,10,service_client,autre
69de5f8d45b81689600c8d7e,ياو غير كملو دخلونا سطالاسيون للدار واحكولنا على العروض,ندعوكم للتواصل معنا عبر الخاص قصد تزويدنا بمعلومات أوفر فيما يخص انشغالكم لنتمكن من تقديم المساعدة 🙏,02/12/2025 11:55,,,,,,,"{'fichier': 'Social-Media-Analytics3.xlsx', 'ligne': 8499, 'date_import': datetime.datetime(2026, 4, 14, 16, 38, 53, 752000)}",Hiba GUELLIL,ياو غير كملو دخلونا سطالاسيون للدار واحكولنا على العروض,ياو غير كملو دخلونا سطالاسيون للدار واحكولنا على العروض,Facebook,sans_doublons,False,True,,0,,0,,,0,,غير كملو,1,neg_seule,2026-04-10,,0,,,,0,True,0.85,False,negatif,negatif,demande d'installation,-0.6,0,,neg_seule,,,,,,delai_installation,delai_installation,3,delai_installation,demande_amelioration
69de5f8945b81689600c46cd,سراقيبن adsel 10mo ترسلوها للناس 7mo,masqué double,01/01/2026 09:25,,,,,,,"{'fichier': 'Social-Media-Analytics1.xlsx', 'ligne': 8180, 'date_import': datetime.datetime(2026, 4, 14, 16, 38, 49, 378000)}",Mounira Rai,سراقيبن adsel 10 mo ترسلوها للناس 7 mo,سراقيبن adsel 10 mo ترسلوها للناس 7 mo,Facebook,sans_doublons,False,True,,0,,0,,,0,,,0,,2026-04-10,,0,,,,0,True,0.9,False,negatif,negatif,débit réel inférieur au débit payé,-0.85,0,,,,,,,,probleme_technique,probleme_technique,8,probleme_technique,demande_information
69de5f8d45b81689600c6e52,المشكل في الإنعدام الكلي للانترنات،,الرجاء مشاركتنا تفاصيل انشغالكم عبر الرسائل الخاصة للصفحة مع ارفاق كل المعلومات الضرورية🙏,30/12/2025 12:51,,,,,,,"{'fichier': 'Social-Media-Analytics3.xlsx', 'ligne': 519, 'date_import': datetime.datetime(2026, 4, 14, 16, 38, 53, 237000)}",Hiba GUELLIL,المشكل في الانعدام الكلي للانترنات،,المشكل في الانعدام الكلي للانترنات،,Facebook,sans_doublons,False,True,,0,,0,,,0,,,0,,2026-04-10,,0,,,,0,True,0.95,False,negatif,negatif,absence totale de connexion,-0.8,0,,,,,,,,probleme_technique,probleme_technique,8,probleme_technique,absence_service
69de5f8945b81689600c42f5,بدلونا المودام فيبر لقديم,ندعوكم لتقديم كافة المعلومات الخاصة بحسابك عبر الخاص لنتمكن من تقديم المساعدة 🙏,04/01/2026 08:43,,,,,,,"{'fichier': 'Social-Media-Analytics1.xlsx', 'ligne': 7196, 'date_import': datetime.datetime(2026, 4, 14, 16, 38, 49, 293000)}",Hiba GUELLIL,بدلونا المودم fibre optique لقديم,بدلونا المودم fibre optique لقديم,Facebook,sans_doublons,False,True,,0,,0,,,0,,,0,,2026-04-10,,0,,,,0,True,0.85,False,negatif,negatif,demande de changement ancien modem fibre,-0.4,0,,,,,,,,demande_amelioration,demande_amelioration,4,demande_amelioration,probleme_technique
69de5f8845b81689600c27e7,ياودي اخدمونا غير الإنترنت بزاف من نهار ضرب الريح راحت الإنترنت,يمكنكم طرح انشغالاتكم فيما يخص الانترنت عبر الرسائل الخاصة للصفحة مع ارفاق كل المعلومات الضرورية شكرا لتفهمكم.,30/01/2026 22:43,,,,,,,"{'fichier': 'Social-Media-Analytics1.xlsx', 'ligne': 270, 'date_import': datetime.datetime(2026, 4, 14, 16, 38, 48, 687000)}",Aimen NOURI,ياودي اخدمونا غير الانترنت بزاف من نهار ضرب الريح راحت الانترنت,ياودي اخدمونا غير الانترنت بزاف من نهار ضرب الريح راحت الانترنت,Facebook,sans_doublons,False,True,,0,,0,,,0,,غير الانترنت,1,neg_seule,2026-04-10,,0,,,,0,True,0.9,False,negatif,negatif,service non fiable,-0.85,0,,neg_seule,,,,,,probleme_technique,probleme_technique,8,probleme_technique,autre
69de5f8845b81689600c2d11,المقاول مجاش ركب مع انو ركب لكل الحي عداي انا,مرحبا سيدتي Sara Bouaifi ندعوك لتقديم كافة المعلومات الخاصة بحسابك عبر الخاص لنتمكن من تقديم المساعدة 🙏 أحلام,24/01/2026 08:36,,,,,,,"{'fichier': 'Social-Media-Analytics1.xlsx', 'ligne': 1592, 'date_import': datetime.datetime(2026, 4, 14, 16, 38, 48, 808000)}",Ahlem Baroudi,المقاول مجاش ركب مع انو ركب لكل الحي عداي انا,المقاول مجاش ركب مع انو ركب لكل الحي عداي انا,Facebook,sans_doublons,False,True,,0,,0,,,0,,,0,,2026-04-10,,0,,,,0,True,0.85,False,negatif,negatif,absence de service,-0.6,0,,,,,,,,absence_service,absence_service,0,absence_service,delai_installation
